,Call_OI,Put_OI,Call_IV,Put_IV,c_gamma,c_vega,c_theta,c_delta,p_delta,p_theta,p_vega,p_gamma,maxpain,ltp
2023-10-04 10:57:09,7982365.0,5783277.0,2373.58,2440.1,0.0090947311037759,22.127693694489185,-195.66893004335114,1.568287560755266,24.40738991021692,-1921.585410123805,75.78074780690301,0.01400604964563179,44000,44014.1
2023-10-04 10:58:09,7982910.0,5783278.0,2373.58,2440.1,0.009017334737793092,21.95492149597725,-193.96414373572452,1.5379326283485981,24.554232038109255,-1815.7013849745417,74.22784571238658,0.013953740367611545,44000,44009.5
2023-10-04 11:00:39,7982888.0,5783282.0,2373.58,2440.1,0.008963661274896673,21.815523243171583,-194.76692293905012,1.5373541733553346,24.554028848220494,-1807.6488647585143,73.79218728807527,0.014040439226259416,44000,44009.5
2023-10-04 11:01:39,8031057.0,5825603.0,2344.4,2440.89,0.008772047797589444,21.65992601941542,-196.61725658881798,1.5211016048235408,24.723072715984596,-1674.9678796141125,71.87926603084483,0.014183116485710912,44000,44006.8
2023-10-04 11:01:39,8031057.0,5825603.0,2344.4,2440.89,0.008772047797589444,21.65992601941542,-196.61725658881798,1.5211016048235408,24.723072715984596,-1674.9678796141125,71.87926603084483,0.014183116485710912,44000,44006.8
2023-10-04 11:03:09,8084309.0,5873177.0,2344.4,2440.89,0.009126342665477516,21.452963937766135,-186.9476915818692,1.5255115674804394,24.50134636134583,-1848.0805821127244,73.80647699228908,0.013871627778661022,44000,44010.8
2023-10-04 11:04:09,8084200.0,5873192.0,2351.16,2406.72,0.010072171186537027,21.67825546616102,-188.7516358649159,2.393486184900487,24.90739393221294,-1582.1872794106457,70.18451070879847,0.014040755192401555,44000,43996.9
2023-10-04 11:04:09,8084200.0,5873192.0,2351.16,2406.72,0.010072171186537027,21.67825546616102,-188.7516358649159,2.393486184900487,24.90739393221294,-1582.1872794106457,70.18451070879847,0.014040755192401555,44000,43996.9
2023-10-04 11:04:39,8084200.0,5873192.0,2344.4,2440.89,0.010687239905826651,22.512705495098203,-194.5009602948493,2.3457449040641314,24.937652114350595,-1549.9374058103494,69.75395341721314,0.014211385573892343,44000,43996.9
2023-10-04 11:05:09,8142799.0,5896841.0,2344.4,2440.89,0.01009469097146276,21.626662482052666,-188.76407775838862,2.389556069602647,24.89683435820558,-1586.7557743824239,70.19403112495024,0.014112717375280859,44000,43997.4
2023-10-04 11:05:09,8142799.0,5896841.0,2351.16,2406.72,0.010606640553079139,22.288914663216712,-192.82414143956836,2.3543535517763368,24.919697649023682,-1562.085198523217,69.8480815120019,0.014198971819423534,44000,43997.4
2023-10-04 11:05:39,8152513.0,5893982.0,2351.16,2406.72,0.010615280119363746,23.427726568140773,-206.9799448050269,2.177184862166154,25.386754260753634,-1262.2388285407033,65.01100409339637,0.01439372695921648,44000,43986.5
2023-10-04 11:06:09,8152461.0,5893926.0,2349.46,2318.9,0.01086861487864521,22.77712041733779,-194.02602230539887,2.218349050875204,25.21598314850398,-1378.6718934645937,66.88211240320359,0.014233603946034457,44000,43988.6
2023-10-04 11:06:09,8152461.0,5893926.0,2349.46,2318.9,0.01086861487864521,22.77712041733779,-194.02602230539887,2.218349050875204,25.21598314850398,-1378.6718934645937,66.88211240320359,0.014233603946034457,44000,43988.6
